"","sid","depth","minProbe","minProbeDate","maxProbe","maxProbeDate","thickness","modLL","modDUL","slgaLL","slgaDUL"
"54","opSID_33984",500,27.8574125,2018-10-19,44.3410833333333,2020-10-26,100,0.142819150445108,0.269189015130947,0.139464774204767,0.273663029472152
"55","opSID_33984",600,36.349959375,2018-10-19,53.1421239583333,2020-11-22,100,0.149614903235111,0.275069108983791,0.142594714557024,0.276390027574411
"56","opSID_33984",700,43.3983760416667,2018-10-22,56.9634302083333,2021-01-13,100,0.154587412213882,0.280220306841212,0.143761823733509,0.277442381986285
"57","opSID_33984",800,45.166634375,2018-10-22,57.7614854166667,2018-02-13,100,0.157386464584788,0.282799845578728,0.144289248600003,0.277323814751177
"58","opSID_33984",900,43.9004333333333,2018-10-22,53.3368447916667,2018-02-14,100,0.158009092442773,0.282792108559692,0.144188202265538,0.276038594699964
"59","opSID_33984",1000,40.8921476190476,2016-10-07,48.7610927083333,2018-02-20,100,0.156455295787836,0.280197095784103,0.143458684730114,0.273586721832645
"60","opSID_40101",100,0,2017-02-07,15,2016-09-29,100,0.0800179420306164,0.225832623670461,0.0887021681446928,0.242770617017926
"61","opSID_40101",200,10.1462984722222,2020-09-25,32.4873779166667,2020-10-05,100,0.0923489542387684,0.225021524243487,0.0996701536395953,0.248191854564668
"62","opSID_40101",300,21.1068854166667,2016-09-29,45.5664458333333,2019-01-25,100,0.102626575005554,0.218788048409281,0.104802664543408,0.249717170113288
"63","opSID_40101",400,33.42761875,2016-09-30,54.04238125,2019-01-25,100,0.11436026409189,0.215480856579913,0.10465968892717,0.247547875206077
"64","opSID_40101",500,43.0285760416667,2016-09-30,59.6536822916667,2019-05-15,100,0.122790363118139,0.21940410649551,0.103959345374015,0.244910652749956
"65","opSID_40101",600,52.6074822916667,2016-09-26,64.60994375,2019-01-25,100,0.127876535996338,0.230594274069123,0.102741617939731,0.241832847515321
"66","opSID_40101",700,51.5206899328859,2020-08-24,64.2263208333333,2019-01-26,100,0.130352928718412,0.244506967322652,0.101606903001974,0.238938642333167
"67","opSID_40101",800,50.3502975391499,2020-08-24,60.5753489583333,2019-01-26,100,0.131289037914574,0.254521960905284,0.101429852073872,0.237137340586912
"68","opSID_40101",900,44.6844302013423,2020-08-24,57,2017-02-17,100,0.130693927115587,0.26058315121235,0.102217877456386,0.236436648237435
"69","opSID_40101",1000,39.4721635416667,2016-09-26,54.5832614583333,2019-01-26,100,0.128567596321453,0.262690538243852,0.103970979149513,0.236836565284735
"70","opSID_40103",100,0.00194479166666667,2019-04-10,29,2020-05-12,100,0.0858674421278759,0.201780995201013,0.088951398257195,0.242728788928827
"71","opSID_40103",200,22.3290520833333,2016-12-25,52.2540770833333,2020-08-22,100,0.114107587833393,0.217150291858095,0.106900001383562,0.24845801563101
"72","opSID_40103",300,36.967009375,2016-12-10,55.5267125,2020-06-21,100,0.138720736849325,0.231633364087221,0.133938139112005,0.274017914892939
"73","opSID_40103",400,43.1771958333333,2017-11-01,54.9250239583333,2020-06-16,100,0.158298104565978,0.242174302180607,0.159914342284489,0.304169666411182
"74","opSID_40103",500,42.818390625,2017-11-05,55.0852125,2020-06-26,100,0.176597367786673,0.254141259086772,0.175108257571789,0.320997575378185
"75","opSID_40103",600,43.444796875,2017-11-06,58.0804375,2019-08-24,100,0.193650371230081,0.267579727627313,0.179437509098234,0.324349813871853
"76","opSID_40103",700,45.937115625,2017-10-07,58.7583864583333,2020-06-28,100,0.206753176068701,0.279991060216578,0.177333172557562,0.319761628245892
"77","opSID_40103",800,47.8240875,2017-11-06,56.686475,2020-07-08,100,0.211966710924191,0.287735251729788,0.175250395256699,0.315296710719282
"78","opSID_40103",900,46.449534375,2018-07-06,54.85093125,2019-09-03,100,0.20925759383572,0.290781454665885,0.173243881833839,0.311023397666761
"79","opSID_40103",1000,44.0688947916667,2018-07-07,54.8268125,2019-09-07,100,0.198625824803288,0.289129669024869,0.171313632288984,0.30694168908833
"80","opSID_40105",100,0.60720625,2020-01-03,32.9110760416667,2016-12-27,100,0.049463857313235,0.216650824587238,0.0763338308385223,0.225460080373801
"81","opSID_40105",200,13.177825,2016-09-28,42.0676989583333,2020-10-08,100,0.0675353124764422,0.223041985053435,0.0826771243077902,0.223783098700758
"82","opSID_40105",300,22.8599145833333,2020-10-03,50,2017-09-22,100,0.0891625297083244,0.229704756777762,0.0872244865867211,0.224078478458863
"83","opSID_40105",400,32.3161489583333,2016-09-30,54.2151197916667,2021-01-25,100,0.108665741541892,0.245426966194008,0.0902620738612716,0.225714731094098
"84","opSID_40105",500,35.059578125,2016-09-22,52.5675760416667,2021-01-25,100,0.122324269743473,0.256097995642307,0.0939891330597763,0.228294998370835
"85","opSID_40105",600,31.1305364583333,2016-09-21,45.5054052083333,2021-02-20,100,0.130106583141593,0.261598263617066,0.0984243018680685,0.231815917083686
"86","opSID_40105",700,31.8906489583333,2016-09-21,48.5587520833333,2017-11-23,100,0.133679689548101,0.26357050069291,0.1028799968011,0.235366097850199
"87","opSID_40105",800,35.699375,2016-09-21,52.368065625,2018-01-26,100,0.135472069479021,0.26440782054645,0.106354553028801,0.237617837619388
"88","opSID_40105",900,34.7066447916667,2016-09-21,51.5488791666667,2018-02-11,100,0.13550430327771,0.264130503802065,0.108839481866172,0.238559884670483
"89","opSID_40105",1000,38.620690625,2016-09-21,54.1293,2018-01-27,100,0.133776390944167,0.262738550459755,0.110334783313211,0.238192239003485
"90","opSID_40106",100,0,2018-04-28,35,2021-01-31,100,0.114682744169968,0.268745040316437,0.112730640807745,0.264505019312988
"91","opSID_40106",200,20.9124505263158,2016-09-29,56.865071875,2020-10-08,100,0.14332369148546,0.287999764275585,0.134786318932231,0.281184552047193
"92","opSID_40106",300,32.973352688172,2016-09-30,57.837459375,2020-02-01,100,0.16341448479621,0.301732344481593,0.153415942099235,0.299316683990886
"93","opSID_40106",400,36.1295204301075,2016-09-30,57.7893291666667,2020-11-28,100,0.174862236051115,0.310474437672218,0.164917974089655,0.31181713722786
"94","opSID_40106",500,41.866296875,2016-09-26,57.2720875,2020-11-28,100,0.183174930801246,0.318212611556332,0.171489001843608,0.317585865638607
"95","opSID_40106",600,47.418253125,2016-09-24,60.5645854166667,2021-01-25,100,0.188399246890256,0.324980650606045,0.173147640504655,0.316613546798386
